RA,DEC,APOGEE,FIELD,LOCATION_ID,RADIUS,cohort,Hmin,Hmax,JK0min,JK0max,fracSampling,fracAK,GLON,GLAT
251.16719,-19.11986,2,000+17,5715,0.8,short,7.0,12.2,0.5,999.0,0.3218,0.9326,0.14477540362798827,17.002494104783352
251.16719,-19.11986,2,000+17,5715,0.8,medium,12.2,12.8,0.5,999.0,0.266,0.9017,0.14477540362798827,17.002494104783352
251.16719,-19.11986,2,000+17,5715,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,0.14477540362798827,17.002494104783352
240.6338,-11.0124,1,000+30,4520,1.49,short,7.0,12.2,0.5,999.0,0.2221,0.9586,359.99986719942297,30.00014594292203
240.6338,-11.0124,1,000+30,4520,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,359.99986719942297,30.00014594292203
240.6338,-11.0124,1,000+30,4520,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,359.99986719942297,30.00014594292203
229.2723,-1.1284,1,000+45,4207,1.49,short,7.0,12.2,0.5,999.0,0.4242,0.9428,359.999852358934,45.000185680694265
229.2723,-1.1284,1,000+45,4207,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,359.999852358934,45.000185680694265
229.2723,-1.1284,1,000+45,4207,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,359.999852358934,45.000185680694265
206.0917,18.3742,1,000+75,4481,1.49,short,7.0,12.2,0.5,999.0,0.9226,0.9434,359.9998181007745,75.0001501868926
206.0917,18.3742,1,000+75,4481,1.49,medium,12.2,12.8,0.5,999.0,0.105,0.9768,359.9998181007745,75.0001501868926
206.0917,18.3742,1,000+75,4481,1.49,long,12.8,13.3,0.5,999.0,0.6325,0.9679,359.9998181007745,75.0001501868926
270.30444,-30.97792,2,000-04,5530,0.8,short,7.0,12.2,0.5,999.0,0.0183,0.412,359.95117310301725,-3.946768344437799
270.30444,-30.97792,2,000-04,5530,0.8,medium,12.2,12.8,0.5,999.0,0.0335,0.2766,359.95117310301725,-3.946768344437799
270.30444,-30.97792,2,000-04,5530,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,359.95117310301725,-3.946768344437799
274.6006,-32.75823,2,000-08,5471,0.8,short,7.0,12.2,0.5,999.0,0.0122,0.6785,0.11687075948996183,-8.002684999996896
274.6006,-32.75823,2,000-08,5471,0.8,medium,12.2,12.8,0.5,999.0,0.0294,0.5282,0.11687075948996183,-8.002684999996896
274.6006,-32.75823,2,000-08,5471,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,0.11687075948996183,-8.002684999996896
278.83027,-34.57542,2,000-12,5336,0.8,short,7.0,12.2,0.5,999.0,0.0395,0.8262,0.027553760310050426,-11.96279242647632
278.83027,-34.57542,2,000-12,5336,0.8,medium,12.2,12.8,0.5,999.0,0.1053,0.747,0.027553760310050426,-11.96279242647632
278.83027,-34.57542,2,000-12,5336,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,0.027553760310050426,-11.96279242647632
265.8821,-27.0109,1,001+01,4384,0.9,short,7.0,11.0,0.5,999.0,0.0094,0.3646,1.3999499668304978,1.4001582555314522
265.8821,-27.0109,1,001+01,4384,0.9,medium,11.0,12.2,0.5,999.0,0.0,1.0,1.3999499668304978,1.4001582555314522
265.8821,-27.0109,1,001+01,4384,0.9,long,12.2,13.3,0.5,999.0,0.0,1.0,1.3999499668304978,1.4001582555314522
268.5937,-28.4533,1,001-01,4386,0.9,short,7.0,11.0,0.5,999.0,0.0101,0.2763,1.3999180196633891,-1.3999019262052779
268.5937,-28.4533,1,001-01,4386,0.9,medium,11.0,12.2,0.5,999.0,0.0,1.0,1.3999180196633891,-1.3999019262052779
268.5937,-28.4533,1,001-01,4386,0.9,long,12.2,13.3,0.5,999.0,0.0,1.0,1.3999180196633891,-1.3999019262052779
267.5765,-27.224,1,002+00,4354,0.9,short,7.0,11.0,0.5,999.0,0.0212,0.3574,1.9999385469768143,0.00017667976197044646
267.5765,-27.224,1,002+00,4354,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,1.9999385469768143,0.00017667976197044646
267.5765,-27.224,1,002+00,4354,0.9,long,12.8,13.8,0.5,999.0,0.0,1.0,1.9999385469768143,0.00017667976197044646
264.2507,-25.3902,1,002+04,4390,0.9,short,7.0,11.0,0.5,999.0,0.0243,0.3743,1.999934815754338,3.500101863522445
264.2507,-25.3902,1,002+04,4390,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,1.999934815754338,3.500101863522445
264.2507,-25.3902,1,002+04,4390,0.9,long,12.8,13.8,0.5,999.0,0.0,1.0,1.999934815754338,3.500101863522445
262.2492,-24.2218,1,002+06,4367,0.9,short,7.0,11.0,0.5,999.0,0.0332,0.6252,1.9998482486405489,5.660143130231863
262.2492,-24.2218,1,002+06,4367,0.9,medium,11.0,12.2,0.5,999.0,0.0,1.0,1.9998482486405489,5.660143130231863
262.2492,-24.2218,1,002+06,4367,0.9,long,12.2,13.3,0.5,999.0,0.0,1.0,1.9998482486405489,5.660143130231863
263.2635,-23.6359,1,003+05,4392,0.9,short,7.0,11.0,0.5,999.0,0.0277,0.5993,2.9999316092156825,5.20013035167535
263.2635,-23.6359,1,003+05,4392,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,2.9999316092156825,5.20013035167535
263.2635,-23.6359,1,003+05,4392,0.9,long,12.8,13.3,0.5,999.0,0.0,1.0,2.9999316092156825,5.20013035167535
273.2625,-28.9193,1,003-05,4393,0.9,short,7.0,11.0,0.5,999.0,0.0212,0.5507,2.999915332980046,-5.1998353235608885
273.2625,-28.9193,1,003-05,4393,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,2.999915332980046,-5.1998353235608885
273.2625,-28.9193,1,003-05,4393,0.9,long,12.8,13.3,0.5,999.0,0.0,1.0,2.999915332980046,-5.1998353235608885
266.5312,-24.9072,1,004+02,4364,0.9,short,7.0,11.0,0.5,999.0,0.0119,0.4675,3.4999537735070194,2.000154407549656
266.5312,-24.9072,1,004+02,4364,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,3.4999537735070194,2.000154407549656
266.5312,-24.9072,1,004+02,4364,0.9,long,12.8,13.8,0.5,999.0,0.0,1.0,3.4999537735070194,2.000154407549656
264.86321,-23.090222,1,004+04,4348,0.49,short,5.0,11.0,0.5,999.0,0.0773,0.5181,4.249920355948167,4.250117163386238
264.86321,-23.090222,1,004+04,4348,0.49,medium,12.5,13.0,0.5,999.0,0.0,1.0,4.249920355948167,4.250117163386238
264.86321,-23.090222,1,004+04,4348,0.49,long,13.0,14.5,0.5,999.0,0.0,1.0,4.249920355948167,4.250117163386238
270.3653,-26.9349,1,004-02,4363,0.9,short,7.0,11.0,0.5,999.0,0.0109,0.4252,3.4998922311447895,-1.999835040408923
270.3653,-26.9349,1,004-02,4363,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,3.4998922311447895,-1.999835040408923
270.3653,-26.9349,1,004-02,4363,0.9,long,12.8,13.8,0.5,999.0,0.0,1.0,3.4998922311447895,-1.999835040408923
272.98483,-27.371917,1,004-04,4349,0.49,short,5.0,11.0,0.5,999.0,0.0615,0.4674,4.249932450994932,-4.249873380868209
272.98483,-27.371917,1,004-04,4349,0.49,medium,12.5,13.0,0.5,999.0,0.0,1.0,4.249932450994932,-4.249873380868209
272.98483,-27.371917,1,004-04,4349,0.49,long,13.0,14.5,0.5,999.0,0.0,1.0,4.249932450994932,-4.249873380868209
269.01834,-24.60461,2,005+00,5548,0.85,short,7.0,12.2,0.5,999.0,0.0117,0.345,4.91489644900478,0.2137069484707478
269.01834,-24.60461,2,005+00,5548,0.85,medium,12.2,12.8,0.5,999.0,0.0196,0.1774,4.91489644900478,0.2137069484707478
269.01834,-24.60461,2,005+00,5548,0.85,long,12.8,13.3,0.5,999.0,0.0,1.0,4.91489644900478,0.2137069484707478
267.09386,-23.23259,2,005+02,5679,0.8,short,7.0,12.2,0.5,999.0,0.0085,0.4051,5.200226890587098,2.426310944747248
267.09386,-23.23259,2,005+02,5679,0.8,medium,12.2,12.8,0.5,999.0,0.015,0.2854,5.200226890587098,2.426310944747248
267.09386,-23.23259,2,005+02,5679,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,5.200226890587098,2.426310944747248
266.5595,-22.9365,1,005+03,4346,0.9,short,7.0,11.0,0.5,999.0,0.0287,0.2726,5.199916823501528,3.000167604307451
266.5595,-22.9365,1,005+03,4346,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,5.199916823501528,3.000167604307451
266.5595,-22.9365,1,005+03,4346,0.9,long,12.8,13.3,0.5,999.0,0.0,1.0,5.199916823501528,3.000167604307451
265.66885,-22.36972,2,005+04,5718,0.8,short,7.0,12.2,0.5,999.0,0.0214,0.4082,5.256116904720867,3.996996172281771
265.66885,-22.36972,2,005+04,5718,0.8,medium,12.2,12.8,0.5,999.0,0.0291,0.1992,5.256116904720867,3.996996172281771
265.66885,-22.36972,2,005+04,5718,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,5.256116904720867,3.996996172281771
261.81121,-20.46427,2,005+08,5680,0.8,short,7.0,12.2,0.5,999.0,0.0473,0.6973,4.948382577441886,8.05062258215579
261.81121,-20.46427,2,005+08,5680,0.8,medium,12.2,12.8,0.5,999.0,0.0431,0.5671,4.948382577441886,8.05062258215579
261.81121,-20.46427,2,005+08,5680,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,4.948382577441886,8.05062258215579
258.42439,-18.11216,2,005+12,6046,0.8,short,7.0,12.2,0.5,999.0,0.0904,0.8425,5.14622423541933,12.01435544489547
258.42439,-18.11216,2,005+12,6046,0.8,medium,12.2,12.8,0.5,999.0,0.0962,0.7723,5.14622423541933,12.01435544489547
258.42439,-18.11216,2,005+12,6046,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,5.14622423541933,12.01435544489547
271.44705,-25.61059,2,005-02,5468,0.8,short,7.0,12.2,0.5,999.0,0.024,0.407,5.13087926827093,-2.19495082866197
271.44705,-25.61059,2,005-02,5468,0.8,medium,12.2,12.8,0.5,999.0,0.0258,0.2905,5.13087926827093,-2.19495082866197
271.44705,-25.61059,2,005-02,5468,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,5.13087926827093,-2.19495082866197
272.2659,-25.9406,1,005-03,4347,0.9,short,7.0,11.0,0.5,999.0,0.0126,0.4649,5.199958604133865,-2.99985217894682
272.2659,-25.9406,1,005-03,4347,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,5.199958604133865,-2.99985217894682
272.2659,-25.9406,1,005-03,4347,0.9,long,12.8,13.3,0.5,999.0,0.0,1.0,5.199958604133865,-2.99985217894682
273.56083,-26.72774,2,005-04,5717,0.8,short,7.0,12.2,0.5,999.0,0.0137,0.3939,5.0627573014879115,-4.39543829286986
273.56083,-26.72774,2,005-04,5717,0.8,medium,12.2,12.8,0.5,999.0,0.026,0.1758,5.0627573014879115,-4.39543829286986
273.56083,-26.72774,2,005-04,5717,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,5.0627573014879115,-4.39543829286986
277.01887,-28.38592,2,005-08,5716,0.8,short,7.0,12.2,0.5,999.0,0.0279,0.6532,5.004513520602195,-7.880137497719798
277.01887,-28.38592,2,005-08,5716,0.8,medium,12.2,12.8,0.5,999.0,0.0316,0.5025,5.004513520602195,-7.880137497719798
277.01887,-28.38592,2,005-08,5716,0.8,long,12.8,13.3,0.5,999.0,0.0,1.0,5.004513520602195,-7.880137497719798
264.3777,-21.1659,1,006+06,4362,0.9,short,7.0,11.0,0.5,999.0,0.0307,0.6282,5.6498528427760535,5.650167905428597
264.3777,-21.1659,1,006+06,4362,0.9,medium,11.0,12.8,0.5,999.0,0.0,1.0,5.6498528427760535,5.650167905428597
264.3777,-21.1659,1,006+06,4362,0.9,long,12.8,13.8,0.5,999.0,0.0,1.0,5.6498528427760535,5.650167905428597
263.8912,-19.2166,1,007+07,4345,0.9,short,7.0,11.0,0.5,999.0,0.0459,0.7476,7.0699690300631195,7.070151615175773
