start [rev],end [rev],duration [rev],comment
1081.700000,1084.260000,2.560000,Poor spectroscopic solution
1088.120000,1090.200000,2.080000,Missing On-Ground reconstructed Attitude (OGA-3)
1092.980000,1093.670000,0.690000,Poor spectroscopic solution
1093.902454,1093.958379,0.055925,Missing Barycentric Velocity Correction (BVC)
1100.443435,1100.492047,0.048611,Missing On-Ground reconstructed Attitude (OGA-3)
1105.085102,1105.397602,0.312500,Missing On-Ground reconstructed Attitude (OGA-3)
1148.244824,1148.307324,0.062500,Missing On-Ground reconstructed Attitude (OGA-3)
1153.154546,1153.157324,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
1185.162879,1185.353156,0.190278,Missing On-Ground reconstructed Attitude (OGA-3)
1189.165656,1189.354545,0.188889,Missing On-Ground reconstructed Attitude (OGA-3)
1195.746212,1195.767000,0.020788,Missing On-Ground reconstructed Attitude (OGA-3)
1195.787879,1195.804545,0.016667,Missing On-Ground reconstructed Attitude (OGA-3)
1198.232323,1198.239267,0.006944,Missing On-Ground reconstructed Attitude (OGA-3)
1212.051767,1212.111489,0.059722,Missing On-Ground reconstructed Attitude (OGA-3)
1241.840656,1241.892045,0.051389,Missing On-Ground reconstructed Attitude (OGA-3)
1243.864267,1243.914267,0.050000,Missing On-Ground reconstructed Attitude (OGA-3)
1261.362878,1261.567044,0.204167,Missing On-Ground reconstructed Attitude (OGA-3)
1266.493433,1266.496211,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
1297.892044,1297.937877,0.045833,Missing On-Ground reconstructed Attitude (OGA-3)
1303.297230,1303.335656,0.038426,Missing Barycentric Velocity Correction (BVC)
1311.215655,1311.289266,0.073611,Missing On-Ground reconstructed Attitude (OGA-3)
1312.035099,1312.083710,0.048611,Missing On-Ground reconstructed Attitude (OGA-3)
1316.000000,1360.000000,44.000000,Decontamination
1380.715654,1380.897598,0.181944,Missing On-Ground reconstructed Attitude (OGA-3)
1384.165654,1384.271209,0.105556,Missing On-Ground reconstructed Attitude (OGA-3)
1388.222598,1388.275376,0.052778,Missing On-Ground reconstructed Attitude (OGA-3)
1401.751764,1402.064264,0.312500,Missing On-Ground reconstructed Attitude (OGA-3)
1403.511487,1403.608709,0.097222,Missing On-Ground reconstructed Attitude (OGA-3)
1403.918431,1403.923987,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1403.965653,1403.971209,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1404.012876,1404.018431,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1404.060098,1404.112876,0.052778,Missing On-Ground reconstructed Attitude (OGA-3)
1404.154542,1404.160098,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1404.201764,1404.207320,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1404.362876,1404.701764,0.338889,Missing On-Ground reconstructed Attitude (OGA-3)
1421.000000,1421.062268,0.062268,Missing Barycentric Velocity Correction (BVC)
1431.878153,1431.880931,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
1443.800000,1444.300000,0.500000,Refocusing
1456.669819,1456.675375,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1471.942041,1472.237875,0.295833,Missing On-Ground reconstructed Attitude (OGA-3)
1484.514263,1484.564263,0.050000,Missing On-Ground reconstructed Attitude (OGA-3)
1498.048985,1498.242041,0.193056,Missing On-Ground reconstructed Attitude (OGA-3)
1498.301763,1498.369819,0.068056,Missing On-Ground reconstructed Attitude (OGA-3)
1508.946207,1508.954541,0.008333,Missing On-Ground reconstructed Attitude (OGA-3)
1516.821207,1517.207318,0.386111,Missing On-Ground reconstructed Attitude (OGA-3)
