start,end,"duration [rev]",description,instrument
1105.086491,1105.397602,0.311111,AOCS operations,"AF, both FoVs"
1185.162879,1185.354545,0.191667,Station-keeping manoeuvre #10.1,"AF, both FoVs"
1189.165656,1189.353156,0.187500,Station-keeping manoeuvre #10.2,"AF, both FoVs"
1193.017045,1193.035101,0.018056,Scanning-law change,"AF, both FoVs"
1241.843433,1241.889267,0.045833,Payload data handling unit update,"AF, both FoVs"
1261.364266,1261.537878,0.173611,Station-keeping manoeuvre #11,"AF, both FoVs"
1297.893433,1297.936488,0.043056,Payload data handling unit update,"AF, both FoVs"
1316.490655,1316.491631,0.000976,Decontamination 4,"AF, both FoVs"
1316.491631,1324.101353,7.609722,Decontamination 4,"AF, both FoVs"
1324.101350,1336.086210,11.984860,Decontamination 4,"AF/BP/RP, both FoVs"
1324.101353,1326.797599,2.696246,Decontamination 4,"AF, both FoVs"
1336.086210,1344.076110,7.989900,Decontamination 4,"AF1 only, both FoVs"
1336.678154,1336.786488,0.108333,Decontamination 4,"AF, both FoVs"
1380.717043,1380.897598,0.180556,Station-keeping manoeuvre #12,"AF, both FoVs"
1401.753153,1401.951764,0.198611,AOCS operations,"AF, both FoVs"
1436.318431,1436.330931,0.012500,Unknown,"AF, both FoVs"
1443.949918,1443.974918,0.025000,Refocus (following FoV = FoV-2),"AF, both FoVs"
1471.942041,1472.237875,0.295833,AOCS operations,"AF, both FoVs"
1498.048985,1498.240652,0.191667,Station-keeping manoeuvre #13,"AF, both FoVs"
1623.572595,1623.694817,0.122222,AOCS operations,"AF, both FoVs"
1649.117039,1649.139261,0.022222,Payload data handling unit anomaly,"AF, both FoVs"
1649.650372,1649.672594,0.022222,Payload data handling unit anomaly,"AF, both FoVs"
1650.165650,1650.183705,0.018056,Payload data handling unit anomaly,"AF, both FoVs"
1650.205927,1650.221205,0.015278,Payload data handling unit anomaly,"AF, both FoVs"
1650.576761,1650.589261,0.012500,Payload data handling unit anomaly,"AF, both FoVs"
1651.092039,1651.104539,0.012500,Payload data handling unit anomaly,"AF, both FoVs"
1651.189261,1651.835094,0.645833,Payload data handling unit update,"AF, both FoVs"
1652.335094,1652.453150,0.118056,VPU-7 anomaly,"AF, both FoVs"
1655.672594,1655.694816,0.022222,Phased-array antenna anomaly,"AF, both FoVs"
1770.014259,1770.214259,0.200000,Station-keeping manoeuvre #15,"AF, both FoVs"
1773.710092,1773.835092,0.125000,VPU-5 anomaly,"AF, both FoVs"
1788.114259,1788.168425,0.054167,Cebreros data loss,"AF, both FoVs"
1849.126758,1849.144813,0.018056,VPU software update,"AF, both FoVs"
1919.019812,1919.125368,0.105556,VPU-5 anomaly,"AF, both FoVs"
1943.455923,1943.553145,0.097222,VPU-4 anomaly,"AF, both FoVs"
