start,end,"duration [rev]",description,"CCD row",origin
1078.378158,1078.383245,0.005087,Unknown,6,ObjectLog
1078.378160,1078.382281,0.004121,Unknown,7,ObjectLog
1078.378160,1078.382604,0.004444,Unknown,4,ObjectLog
1078.378162,1078.381859,0.003696,Unknown,5,ObjectLog
1088.000000,1092.500000,4.500000,VPU-7 anomaly,4,Manual
1088.000000,1092.500000,4.500000,VPU-7 anomaly,5,Manual
1088.000000,1092.500000,4.500000,VPU-7 anomaly,6,Manual
1088.000000,1092.500000,4.500000,VPU-7 anomaly,7,Manual
1088.122111,1088.125888,0.003777,VPU-7 anomaly,7,ObjectLog
1105.081305,1105.086419,0.005114,AOCS operations,6,ObjectLog
1105.082268,1105.086463,0.004195,AOCS operations,7,ObjectLog
1105.082533,1105.086420,0.003888,AOCS operations,5,ObjectLog
1105.082876,1105.086422,0.003546,AOCS operations,4,ObjectLog
1153.152540,1153.156119,0.003579,Unknown,4,ObjectLog
1185.158445,1185.162622,0.004177,Station-keeping manoeuvre #10.1,6,ObjectLog
1185.158595,1185.162580,0.003984,Station-keeping manoeuvre #10.1,4,ObjectLog
1185.159466,1185.162577,0.003110,Station-keeping manoeuvre #10.1,5,ObjectLog
1185.159807,1185.162621,0.002814,Station-keeping manoeuvre #10.1,7,ObjectLog
1189.160953,1189.165225,0.004272,Station-keeping manoeuvre #10.2,6,ObjectLog
1189.161603,1189.165218,0.003615,Station-keeping manoeuvre #10.2,4,ObjectLog
1189.161823,1189.165216,0.003394,Station-keeping manoeuvre #10.2,5,ObjectLog
1189.162299,1189.165213,0.002914,Station-keeping manoeuvre #10.2,7,ObjectLog
1193.017047,1193.035103,0.018056,Scanning-law change,4,AGIS
1193.017047,1193.035103,0.018056,Scanning-law change,5,AGIS
1193.017047,1193.035103,0.018056,Scanning-law change,6,AGIS
1193.017047,1193.035103,0.018056,Scanning-law change,7,AGIS
1195.755000,1195.767000,0.012000,Micro-meteoroid hit,4,AGIS
1195.755000,1195.767000,0.012000,Micro-meteoroid hit,5,AGIS
1195.755000,1195.767000,0.012000,Micro-meteoroid hit,6,AGIS
1195.755000,1195.767000,0.012000,Micro-meteoroid hit,7,AGIS
1205.211973,1205.212899,0.000926,Micro-meteoroid hit,4,AGIS
1205.211973,1205.212899,0.000926,Micro-meteoroid hit,5,AGIS
1205.211973,1205.212899,0.000926,Micro-meteoroid hit,6,AGIS
1205.211973,1205.212899,0.000926,Micro-meteoroid hit,7,AGIS
1220.416398,1220.419209,0.002811,VPU-4 anomaly,4,ObjectLog
1222.912575,1222.914426,0.001851,Micro-meteoroid hit,4,AGIS
1222.912575,1222.914426,0.001851,Micro-meteoroid hit,5,AGIS
1222.912575,1222.914426,0.001851,Micro-meteoroid hit,6,AGIS
1222.912575,1222.914426,0.001851,Micro-meteoroid hit,7,AGIS
1241.836439,1241.842365,0.005926,Payload data handling unit update,6,ObjectLog
1241.837772,1241.842355,0.004582,Payload data handling unit update,4,ObjectLog
1241.838858,1241.842348,0.003490,Payload data handling unit update,5,ObjectLog
1241.839190,1241.842345,0.003156,Payload data handling unit update,7,ObjectLog
1241.843436,1241.889269,0.045833,Payload data handling unit update,4,AGIS
1241.843436,1241.889269,0.045833,Payload data handling unit update,5,AGIS
1241.843436,1241.889269,0.045833,Payload data handling unit update,6,AGIS
1241.843436,1241.889269,0.045833,Payload data handling unit update,7,AGIS
1246.081695,1246.084010,0.002315,Micro-meteoroid hit,4,AGIS
1246.081695,1246.084010,0.002315,Micro-meteoroid hit,5,AGIS
1246.081695,1246.084010,0.002315,Micro-meteoroid hit,6,AGIS
1246.081695,1246.084010,0.002315,Micro-meteoroid hit,7,AGIS
1261.357700,1261.363684,0.005984,Station-keeping manoeuvre #11,4,ObjectLog
1261.357910,1261.363686,0.005776,Station-keeping manoeuvre #11,6,ObjectLog
1261.358024,1261.363686,0.005662,Station-keeping manoeuvre #11,7,ObjectLog
1261.358131,1261.363689,0.005557,Station-keeping manoeuvre #11,5,ObjectLog
1261.364269,1261.537880,0.173611,Station-keeping manoeuvre #11,4,AGIS
1261.364269,1261.537880,0.173611,Station-keeping manoeuvre #11,5,AGIS
1261.364269,1261.537880,0.173611,Station-keeping manoeuvre #11,6,AGIS
1261.364269,1261.537880,0.173611,Station-keeping manoeuvre #11,7,AGIS
1264.929380,1264.930537,0.001157,Micro-meteoroid hit,4,AGIS
1264.929380,1264.930537,0.001157,Micro-meteoroid hit,5,AGIS
1264.929380,1264.930537,0.001157,Micro-meteoroid hit,6,AGIS
1264.929380,1264.930537,0.001157,Micro-meteoroid hit,7,AGIS
1278.481610,1278.484886,0.003276,Unknown,5,ObjectLog
1297.888975,1297.892641,0.003666,Payload data handling unit update,7,ObjectLog
1297.889265,1297.892630,0.003366,Payload data handling unit update,5,ObjectLog
1297.889388,1297.892633,0.003245,Payload data handling unit update,4,ObjectLog
1297.889743,1297.892629,0.002886,Payload data handling unit update,6,ObjectLog
1297.893435,1297.936490,0.043056,Payload data handling unit update,4,AGIS
1297.893435,1297.936490,0.043056,Payload data handling unit update,5,AGIS
1297.893435,1297.936490,0.043056,Payload data handling unit update,6,AGIS
1297.893435,1297.936490,0.043056,Payload data handling unit update,7,AGIS
1305.393268,1305.395120,0.001852,Micro-meteoroid hit,4,AGIS
1305.393268,1305.395120,0.001852,Micro-meteoroid hit,5,AGIS
1305.393268,1305.395120,0.001852,Micro-meteoroid hit,6,AGIS
1305.393268,1305.395120,0.001852,Micro-meteoroid hit,7,AGIS
1316.486074,1316.489848,0.003774,Decontamination 4,7,ObjectLog
1316.486216,1316.489843,0.003627,Decontamination 4,6,ObjectLog
1316.486802,1316.489846,0.003044,Decontamination 4,5,ObjectLog
1316.487013,1316.489848,0.002836,Decontamination 4,4,ObjectLog
1316.490000,1389.112794,72.622794,Decontamination 4,4,AGIS
1316.490000,1389.112794,72.622794,Decontamination 4,5,AGIS
1316.490000,1389.112794,72.622794,Decontamination 4,6,AGIS
1316.490000,1389.112794,72.622794,Decontamination 4,7,AGIS
1324.594878,1324.597792,0.002914,Decontamination 4,5,ObjectLog
1325.522659,1325.526695,0.004037,Decontamination 4,7,ObjectLog
1325.522713,1325.526653,0.003940,Decontamination 4,4,ObjectLog
1325.523629,1325.526651,0.003022,Decontamination 4,5,ObjectLog
1325.523689,1325.526695,0.003006,Decontamination 4,6,ObjectLog
1328.788664,1328.793310,0.004646,Decontamination 4,5,ObjectLog
1336.674358,1336.677855,0.003497,Decontamination 4,5,ObjectLog
1336.674416,1336.677852,0.003436,Decontamination 4,7,ObjectLog
1336.674475,1336.677857,0.003382,Decontamination 4,4,ObjectLog
1336.674923,1336.677854,0.002931,Decontamination 4,6,ObjectLog
1343.868247,1343.871095,0.002848,Decontamination 4,7,ObjectLog
1362.228701,1362.231628,0.002928,Decontamination 4,5,ObjectLog
1380.710646,1380.715967,0.005321,Decontamination 4,6,ObjectLog
1380.712266,1380.715957,0.003692,Decontamination 4,5,ObjectLog
1380.712581,1380.715955,0.003375,Decontamination 4,4,ObjectLog
1380.713053,1380.715954,0.002901,Decontamination 4,7,ObjectLog
1389.109303,1391.804028,2.694725,Decontamination 4,7,ObjectLog
1389.109465,1389.538201,0.428736,Decontamination 4,6,ObjectLog
1389.109477,1389.538504,0.429027,Decontamination 4,5,ObjectLog
1389.110065,1389.538563,0.428498,Decontamination 4,4,ObjectLog
1389.335075,1389.537691,0.202616,Decontamination 4,7,ObjectLog
1389.534969,1389.599887,0.064918,Decontamination 4,7,ObjectLog
1389.535472,1389.620091,0.084619,Decontamination 4,6,ObjectLog
1389.535774,1389.630750,0.094976,Decontamination 4,5,ObjectLog
1389.535838,1389.608310,0.072472,Decontamination 4,4,ObjectLog
1389.597163,1389.611842,0.014679,Decontamination 4,7,ObjectLog
1389.605579,1389.634317,0.028738,Decontamination 4,4,ObjectLog
1389.609118,1389.616508,0.007390,Decontamination 4,7,ObjectLog
1389.613778,1390.560359,0.946581,Decontamination 4,7,ObjectLog
1389.617367,1390.560536,0.943169,Decontamination 4,6,ObjectLog
1389.628019,1389.632127,0.004108,Decontamination 4,5,ObjectLog
1389.629396,1389.644041,0.014645,Decontamination 4,5,ObjectLog
1389.631586,1389.665733,0.034147,Decontamination 4,4,ObjectLog
1389.641311,1390.619839,0.978528,Decontamination 4,5,ObjectLog
1389.663003,1389.667296,0.004293,Decontamination 4,4,ObjectLog
1389.664564,1390.654921,0.990357,Decontamination 4,4,ObjectLog
1390.533313,1390.534933,0.001620,Micro-meteoroid hit,4,AGIS
1390.533313,1390.534933,0.001620,Micro-meteoroid hit,5,AGIS
1390.533313,1390.534933,0.001620,Micro-meteoroid hit,6,AGIS
1390.533313,1390.534933,0.001620,Micro-meteoroid hit,7,AGIS
1390.557649,1391.317661,0.760012,Decontamination 4,7,ObjectLog
1390.557812,1391.652412,1.094599,Decontamination 4,6,ObjectLog
1390.617109,1390.621343,0.004234,Decontamination 4,5,ObjectLog
1390.618612,1391.587757,0.969145,Decontamination 4,5,ObjectLog
1390.652190,1390.666404,0.014214,Decontamination 4,4,ObjectLog
1390.663677,1391.660828,0.997151,Decontamination 4,4,ObjectLog
1391.314997,1391.479019,0.164022,Decontamination 4,7,ObjectLog
1391.478191,1391.491186,0.012995,Decontamination 4,7,ObjectLog
1391.489239,1391.499918,0.010679,Decontamination 4,7,ObjectLog
1391.498216,1391.508317,0.010101,Decontamination 4,7,ObjectLog
1391.505955,1391.528009,0.022054,Decontamination 4,7,ObjectLog
1391.526455,1391.554621,0.028166,Decontamination 4,7,ObjectLog
1391.554596,1391.567001,0.012405,Decontamination 4,7,ObjectLog
1391.568540,1391.603143,0.034603,Decontamination 4,7,ObjectLog
1391.585028,1391.605564,0.020536,Decontamination 4,5,ObjectLog
1391.602838,1391.668446,0.065608,Decontamination 4,5,ObjectLog
1391.614934,1391.618749,0.003815,Decontamination 4,7,ObjectLog
1391.616023,1391.651597,0.035574,Decontamination 4,7,ObjectLog
1391.649688,1391.804028,0.154340,Decontamination 4,6,ObjectLog
1391.652459,1391.670352,0.017892,Decontamination 4,7,ObjectLog
1391.658099,1391.667314,0.009215,Decontamination 4,4,ObjectLog
1391.664589,1391.789091,0.124502,Decontamination 4,4,ObjectLog
1391.665718,1391.670143,0.004425,Decontamination 4,5,ObjectLog
1391.667414,1391.794360,0.126946,Decontamination 4,5,ObjectLog
1391.667623,1391.755508,0.087885,Decontamination 4,7,ObjectLog
1391.755904,1391.804028,0.048124,Decontamination 4,7,ObjectLog
1401.746823,1401.752531,0.005708,AOCS operations,6,ObjectLog
1401.747159,1401.752486,0.005327,AOCS operations,4,ObjectLog
1401.747731,1401.752531,0.004800,AOCS operations,5,ObjectLog
1401.749570,1401.752527,0.002956,AOCS operations,7,ObjectLog
1401.753155,1401.951767,0.198611,AOCS operations,4,AGIS
1401.753155,1401.951767,0.198611,AOCS operations,5,AGIS
1401.753155,1401.951767,0.198611,AOCS operations,6,AGIS
1401.753155,1401.951767,0.198611,AOCS operations,7,AGIS
1401.991517,1401.994368,0.002851,VPU-5 anomaly,5,ObjectLog
1403.915550,1403.920142,0.004592,Payload data handling unit update,5,ObjectLog
1403.916067,1403.920125,0.004058,Payload data handling unit update,7,ObjectLog
1403.916731,1403.920128,0.003398,Payload data handling unit update,6,ObjectLog
1403.917111,1403.920133,0.003022,Payload data handling unit update,4,ObjectLog
1403.963767,1403.967362,0.003595,Payload data handling unit update,7,ObjectLog
1403.964293,1403.967352,0.003059,Payload data handling unit update,5,ObjectLog
1403.964469,1403.967351,0.002882,Payload data handling unit update,6,ObjectLog
1403.964526,1403.967356,0.002830,Payload data handling unit update,4,ObjectLog
1404.011743,1404.014584,0.002841,Payload data handling unit update,7,ObjectLog
1404.011753,1404.014584,0.002831,Payload data handling unit update,6,ObjectLog
1404.011755,1404.014575,0.002820,Payload data handling unit update,5,ObjectLog
1404.011766,1404.014577,0.002810,Payload data handling unit update,4,ObjectLog
1404.058679,1404.061806,0.003127,Payload data handling unit update,6,ObjectLog
1404.058696,1404.061798,0.003103,Payload data handling unit update,4,ObjectLog
1404.058771,1404.061794,0.003023,Payload data handling unit update,7,ObjectLog
1404.058826,1404.061797,0.002971,Payload data handling unit update,5,ObjectLog
1404.104653,1404.109019,0.004365,Payload data handling unit update,4,ObjectLog
1404.104991,1404.109019,0.004028,Payload data handling unit update,5,ObjectLog
1404.105913,1404.109018,0.003104,Payload data handling unit update,6,ObjectLog
1404.106132,1404.109017,0.002885,Payload data handling unit update,7,ObjectLog
1404.150993,1404.156253,0.005260,Payload data handling unit update,5,ObjectLog
1404.152588,1404.156238,0.003649,Payload data handling unit update,4,ObjectLog
1404.152905,1404.156238,0.003333,Payload data handling unit update,6,ObjectLog
1404.153052,1404.156239,0.003186,Payload data handling unit update,7,ObjectLog
1404.199422,1404.203459,0.004038,Payload data handling unit update,7,ObjectLog
1404.199545,1404.203460,0.003915,Payload data handling unit update,6,ObjectLog
1404.199729,1404.203466,0.003736,Payload data handling unit update,4,ObjectLog
1404.200451,1404.203447,0.002996,Payload data handling unit update,5,ObjectLog
1409.047693,1409.050532,0.002839,VPU-6 anomaly,6,ObjectLog
1411.742526,1411.753174,0.010648,Micro-meteoroid hit,4,AGIS
1411.742526,1411.753174,0.010648,Micro-meteoroid hit,5,AGIS
1411.742526,1411.753174,0.010648,Micro-meteoroid hit,6,AGIS
1411.742526,1411.753174,0.010648,Micro-meteoroid hit,7,AGIS
1412.000016,1412.002869,0.002853,VPU-7 anomaly,7,ObjectLog
1414.047112,1414.049988,0.002876,VPU-4 anomaly,4,ObjectLog
1428.337638,1428.340431,0.002792,VPU-6 anomaly,6,ObjectLog
1431.875065,1431.878926,0.003861,Payload data handling unit update,5,ObjectLog
1431.875931,1431.878924,0.002993,Payload data handling unit update,7,ObjectLog
1432.183544,1432.185164,0.001620,Micro-meteoroid hit,4,AGIS
